timestamp,L_hip_joint,L_hip2_joint,L_thigh_joint,L_calf_joint,L_toe_joint
0.000000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.002000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.004000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.006000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.008000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.010000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.012000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.014000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.016000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.018000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.020000,0.100000,0.200000,0.950000,-0.700000,0.700000
0.022000,0.100000,0.200000,0.949999,-0.700000,0.700000
0.024000,0.100000,0.200000,0.949999,-0.700001,0.700000
0.026000,0.100000,0.200000,0.949999,-0.700001,0.699999
0.028000,0.100000,0.199999,0.949999,-0.700001,0.699999
0.030000,0.100000,0.199999,0.949999,-0.700001,0.699999
0.032000,0.100000,0.199999,0.949999,-0.700001,0.699999
0.034000,0.100000,0.199999,0.949998,-0.700001,0.699999
0.036000,0.099999,0.199999,0.949998,-0.700002,0.699999
0.038000,0.099999,0.199999,0.949998,-0.700002,0.699999
0.040000,0.099999,0.199999,0.949998,-0.700002,0.699998
0.042000,0.099999,0.199998,0.949997,-0.700003,0.699998
0.044000,0.099999,0.199998,0.949997,-0.700003,0.699998
0.046000,0.099999,0.199998,0.949996,-0.700003,0.699998
0.048000,0.099999,0.199998,0.949996,-0.700004,0.699997
0.050000,0.099999,0.199997,0.949996,-0.700004,0.699997
0.052000,0.099998,0.199997,0.949995,-0.700005,0.699997
0.054000,0.099998,0.199997,0.949994,-0.700005,0.699996
0.056000,0.099998,0.199996,0.949994,-0.700006,0.699996
0.058000,0.099998,0.199996,0.949993,-0.700006,0.699995
0.060000,0.099998,0.199995,0.949993,-0.700007,0.699995
0.062000,0.099997,0.199995,0.949992,-0.700008,0.699994
0.064000,0.099997,0.199994,0.949991,-0.700008,0.699994
0.066000,0.099997,0.199994,0.949990,-0.700009,0.699993
0.068000,0.099997,0.199993,0.949989,-0.700010,0.699993
0.070000,0.099996,0.199993,0.949988,-0.700011,0.699992
0.072000,0.099996,0.199992,0.949987,-0.700012,0.699991
0.074000,0.099996,0.199991,0.949986,-0.700013,0.699990
0.076000,0.099995,0.199991,0.949985,-0.700014,0.699990
0.078000,0.099995,0.199990,0.949984,-0.700015,0.699989
0.080000,0.099995,0.199989,0.949982,-0.700016,0.699988
0.082000,0.099994,0.199988,0.949981,-0.700017,0.699987
0.084000,0.099994,0.199987,0.949980,-0.700019,0.699986
0.086000,0.099993,0.199987,0.949978,-0.700020,0.699985
0.088000,0.099993,0.199986,0.949977,-0.700022,0.699984
0.090000,0.099992,0.199985,0.949975,-0.700023,0.699983
0.092000,0.099992,0.199983,0.949973,-0.700025,0.699981
0.094000,0.099991,0.199982,0.949971,-0.700027,0.699980
0.096000,0.099991,0.199981,0.949969,-0.700028,0.699979
0.098000,0.099990,0.199980,0.949967,-0.700030,0.699977
0.100000,0.099989,0.199979,0.949965,-0.700032,0.699976
0.102000,0.099989,0.199977,0.949963,-0.700034,0.699974
0.104000,0.099988,0.199976,0.949961,-0.700036,0.699973
0.106000,0.099987,0.199974,0.949958,-0.700039,0.699971
0.108000,0.099986,0.199973,0.949956,-0.700041,0.699969
0.110000,0.099985,0.199971,0.949953,-0.700044,0.699967
0.112000,0.099985,0.199969,0.949950,-0.700046,0.699965
0.114000,0.099984,0.199967,0.949947,-0.700049,0.699963
0.116000,0.099983,0.199966,0.949944,-0.700052,0.699961
0.118000,0.099982,0.199964,0.949941,-0.700055,0.699959
0.120000,0.099981,0.199962,0.949938,-0.700058,0.699957
0.122000,0.099980,0.199960,0.949934,-0.700061,0.699954
0.124000,0.099979,0.199957,0.949931,-0.700064,0.699952
0.126000,0.099978,0.199955,0.949927,-0.700067,0.699949
0.128000,0.099976,0.199953,0.949923,-0.700071,0.699947
0.130000,0.099975,0.199950,0.949919,-0.700075,0.699944
0.132000,0.099974,0.199948,0.949915,-0.700078,0.699941
0.134000,0.099973,0.199945,0.949911,-0.700082,0.699938
0.136000,0.099971,0.199942,0.949906,-0.700087,0.699935
0.138000,0.099970,0.199939,0.949902,-0.700091,0.699932
0.140000,0.099968,0.199937,0.949897,-0.700095,0.699929
0.142000,0.099967,0.199933,0.949892,-0.700100,0.699925
0.144000,0.099965,0.199930,0.949887,-0.700105,0.699922
0.146000,0.099964,0.199927,0.949881,-0.700109,0.699918
0.148000,0.099962,0.199924,0.949876,-0.700115,0.699914
0.150000,0.099960,0.199920,0.949870,-0.700120,0.699910
0.152000,0.099958,0.199917,0.949864,-0.700125,0.699906
0.154000,0.099956,0.199913,0.949858,-0.700131,0.699902
0.156000,0.099955,0.199909,0.949852,-0.700136,0.699898
0.158000,0.099953,0.199905,0.949846,-0.700142,0.699893
0.160000,0.099950,0.199901,0.949839,-0.700149,0.699889
0.162000,0.099948,0.199897,0.949832,-0.700155,0.699884
0.164000,0.099946,0.199892,0.949825,-0.700161,0.699879
0.166000,0.099944,0.199888,0.949818,-0.700168,0.699874
0.168000,0.099942,0.199883,0.949810,-0.700175,0.699869
0.170000,0.099939,0.199878,0.949802,-0.700182,0.699863
0.172000,0.099937,0.199874,0.949794,-0.700190,0.699858
0.174000,0.099934,0.199868,0.949786,-0.700197,0.699852
0.176000,0.099932,0.199863,0.949778,-0.700205,0.699846
0.178000,0.099929,0.199858,0.949769,-0.700213,0.699840
0.180000,0.099926,0.199852,0.949760,-0.700221,0.699834
0.182000,0.099923,0.199847,0.949751,-0.700230,0.699828
0.184000,0.099920,0.199841,0.949741,-0.700239,0.699821
0.186000,0.099917,0.199835,0.949732,-0.700248,0.699814
0.188000,0.099914,0.199829,0.949722,-0.700257,0.699807
0.190000,0.099911,0.199822,0.949711,-0.700266,0.699800
0.192000,0.099908,0.199816,0.949701,-0.700276,0.699793
0.194000,0.099905,0.199809,0.949690,-0.700286,0.699785
0.196000,0.099901,0.199802,0.949679,-0.700296,0.699778
0.198000,0.099898,0.199795,0.949667,-0.700307,0.699770
0.200000,0.099894,0.199788,0.949656,-0.700318,0.699762
0.202000,0.099890,0.199781,0.949644,-0.700329,0.699753
0.204000,0.099887,0.199773,0.949631,-0.700340,0.699745
0.206000,0.099883,0.199765,0.949619,-0.700352,0.699736
0.208000,0.099879,0.199757,0.949606,-0.700364,0.699727
0.210000,0.099875,0.199749,0.949592,-0.700376,0.699718
0.212000,0.099870,0.199741,0.949579,-0.700389,0.699708
0.214000,0.099866,0.199732,0.949565,-0.700402,0.699699
