timestamp,L_hip_joint,L_hip2_joint,L_thigh_joint,L_calf_joint,L_toe_joint
0.000000,-0.015367,-0.051529,-0.095004,-0.402695,0.497100
0.002000,-0.015367,-0.051526,-0.095007,-0.402698,0.497105
0.004000,-0.015365,-0.051517,-0.095015,-0.402703,0.497120
0.006000,-0.015361,-0.051502,-0.095029,-0.402715,0.497145
0.008000,-0.015357,-0.051482,-0.095049,-0.402730,0.497180
0.010000,-0.015351,-0.051455,-0.095073,-0.402750,0.497225
0.012000,-0.015343,-0.051423,-0.095103,-0.402774,0.497280
0.014000,-0.015335,-0.051384,-0.095140,-0.402802,0.497344
0.016000,-0.015324,-0.051340,-0.095181,-0.402835,0.497419
0.018000,-0.015313,-0.051290,-0.095227,-0.402873,0.497504
0.020000,-0.015300,-0.051234,-0.095280,-0.402914,0.497599
0.022000,-0.015286,-0.051171,-0.095338,-0.402960,0.497703
0.024000,-0.015270,-0.051103,-0.095401,-0.403010,0.497818
0.026000,-0.015254,-0.051029,-0.095470,-0.403065,0.497942
0.028000,-0.015235,-0.050949,-0.095544,-0.403123,0.498076
0.030000,-0.015215,-0.050863,-0.095623,-0.403187,0.498220
0.032000,-0.015194,-0.050770,-0.095708,-0.403253,0.498373
0.034000,-0.015171,-0.050672,-0.095798,-0.403326,0.498536
0.036000,-0.015147,-0.050568,-0.095894,-0.403402,0.498709
0.038000,-0.015122,-0.050457,-0.095995,-0.403481,0.498891
0.040000,-0.015095,-0.050340,-0.096101,-0.403565,0.499083
0.042000,-0.015066,-0.050218,-0.096213,-0.403654,0.499285
0.044000,-0.015036,-0.050088,-0.096329,-0.403746,0.499496
0.046000,-0.015005,-0.049953,-0.096451,-0.403843,0.499716
0.048000,-0.014972,-0.049812,-0.096578,-0.403944,0.499946
0.050000,-0.014937,-0.049664,-0.096710,-0.404049,0.500185
0.052000,-0.014901,-0.049510,-0.096848,-0.404157,0.500433
0.054000,-0.014863,-0.049350,-0.096990,-0.404271,0.500690
0.056000,-0.014823,-0.049183,-0.097138,-0.404387,0.500957
0.058000,-0.014782,-0.049010,-0.097290,-0.404509,0.501233
0.060000,-0.014739,-0.048830,-0.097447,-0.404633,0.501517
0.062000,-0.014695,-0.048644,-0.097609,-0.404762,0.501811
0.064000,-0.014649,-0.048451,-0.097777,-0.404894,0.502113
0.066000,-0.014601,-0.048252,-0.097948,-0.405030,0.502423
0.068000,-0.014551,-0.048046,-0.098125,-0.405171,0.502743
0.070000,-0.014500,-0.047834,-0.098306,-0.405315,0.503071
0.072000,-0.014447,-0.047615,-0.098493,-0.405462,0.503408
0.074000,-0.014392,-0.047389,-0.098683,-0.405614,0.503753
0.076000,-0.014335,-0.047156,-0.098879,-0.405769,0.504106
0.078000,-0.014276,-0.046917,-0.099079,-0.405926,0.504467
0.080000,-0.014215,-0.046671,-0.099284,-0.406089,0.504837
0.082000,-0.014152,-0.046418,-0.099492,-0.406254,0.505215
0.084000,-0.014088,-0.046158,-0.099706,-0.406423,0.505600
0.086000,-0.014021,-0.045890,-0.099923,-0.406595,0.505993
0.088000,-0.013952,-0.045616,-0.100145,-0.406770,0.506394
0.090000,-0.013882,-0.045335,-0.100371,-0.406949,0.506802
0.092000,-0.013809,-0.045047,-0.100601,-0.407131,0.507218
0.094000,-0.013734,-0.044751,-0.100836,-0.407316,0.507641
0.096000,-0.013657,-0.044448,-0.101074,-0.407504,0.508071
0.098000,-0.013577,-0.044138,-0.101316,-0.407696,0.508509
0.100000,-0.013496,-0.043821,-0.101562,-0.407890,0.508953
0.102000,-0.013412,-0.043496,-0.101812,-0.408087,0.509404
0.104000,-0.013326,-0.043164,-0.102065,-0.408288,0.509862
0.106000,-0.013237,-0.042824,-0.102323,-0.408489,0.510325
0.108000,-0.013146,-0.042477,-0.102583,-0.408695,0.510796
0.110000,-0.013053,-0.042122,-0.102847,-0.408903,0.511273
0.112000,-0.012957,-0.041759,-0.103115,-0.409114,0.511755
0.114000,-0.012859,-0.041389,-0.103387,-0.409327,0.512244
0.116000,-0.012758,-0.041011,-0.103661,-0.409542,0.512738
0.118000,-0.012655,-0.040625,-0.103938,-0.409760,0.513238
0.120000,-0.012549,-0.040231,-0.104219,-0.409980,0.513743
0.122000,-0.012441,-0.039829,-0.104502,-0.410203,0.514253
0.124000,-0.012330,-0.039419,-0.104789,-0.410426,0.514769
0.126000,-0.012216,-0.039002,-0.105078,-0.410652,0.515289
0.128000,-0.012099,-0.038576,-0.105370,-0.410880,0.515814
0.130000,-0.011980,-0.038141,-0.105665,-0.411110,0.516343
0.132000,-0.011857,-0.037699,-0.105962,-0.411341,0.516877
0.134000,-0.011732,-0.037248,-0.106262,-0.411575,0.517415
0.136000,-0.011604,-0.036789,-0.106564,-0.411810,0.517957
0.138000,-0.011473,-0.036322,-0.106868,-0.412046,0.518502
0.140000,-0.011339,-0.035846,-0.107174,-0.412283,0.519051
0.142000,-0.011202,-0.035362,-0.107483,-0.412522,0.519603
0.144000,-0.011062,-0.034869,-0.107793,-0.412762,0.520159
0.146000,-0.010919,-0.034367,-0.108106,-0.413002,0.520716
0.148000,-0.010773,-0.033857,-0.108420,-0.413244,0.521278
0.150000,-0.010623,-0.033338,-0.108736,-0.413486,0.521841
0.152000,-0.010471,-0.032810,-0.109053,-0.413728,0.522406
0.154000,-0.010315,-0.032274,-0.109372,-0.413971,0.522973
0.156000,-0.010155,-0.031728,-0.109692,-0.414215,0.523542
0.158000,-0.009993,-0.031174,-0.110013,-0.414459,0.524112
0.160000,-0.009827,-0.030610,-0.110335,-0.414703,0.524684
0.162000,-0.009658,-0.030038,-0.110658,-0.414947,0.525257
0.164000,-0.009485,-0.029457,-0.110982,-0.415191,0.525830
0.166000,-0.009308,-0.028866,-0.111307,-0.415434,0.526403
0.168000,-0.009129,-0.028266,-0.111632,-0.415678,0.526978
0.170000,-0.008945,-0.027657,-0.111958,-0.415920,0.527551
0.172000,-0.008758,-0.027038,-0.112284,-0.416162,0.528124
0.174000,-0.008568,-0.026411,-0.112610,-0.416403,0.528697
0.176000,-0.008373,-0.025774,-0.112937,-0.416643,0.529269
0.178000,-0.008175,-0.025127,-0.113263,-0.416882,0.529839
0.180000,-0.007974,-0.024471,-0.113590,-0.417119,0.530408
0.182000,-0.007768,-0.023806,-0.113915,-0.417356,0.530976
0.184000,-0.007559,-0.023131,-0.114241,-0.417591,0.531541
0.186000,-0.007346,-0.022446,-0.114566,-0.417823,0.532103
0.188000,-0.007129,-0.021752,-0.114890,-0.418055,0.532663
0.190000,-0.006909,-0.021048,-0.115213,-0.418283,0.533220
0.192000,-0.006684,-0.020335,-0.115535,-0.418510,0.533774
0.194000,-0.006455,-0.019612,-0.115856,-0.418734,0.534324
0.196000,-0.006223,-0.018879,-0.116177,-0.418955,0.534869
0.198000,-0.005987,-0.018136,-0.116495,-0.419175,0.535411
0.200000,-0.005746,-0.017383,-0.116812,-0.419389,0.535948
0.202000,-0.005502,-0.016621,-0.117127,-0.419602,0.536480
0.204000,-0.005253,-0.015849,-0.117440,-0.419811,0.537007
0.206000,-0.005001,-0.015067,-0.117752,-0.420016,0.537527
0.208000,-0.004744,-0.014275,-0.118061,-0.420218,0.538042
0.210000,-0.004484,-0.013473,-0.118368,-0.420417,0.538551
0.212000,-0.004219,-0.012661,-0.118672,-0.420610,0.539052
0.214000,-0.003950,-0.011840,-0.118974,-0.420800,0.539547
0.216000,-0.003677,-0.011008,-0.119273,-0.420984,0.540034
0.218000,-0.003401,-0.010166,-0.119569,-0.421165,0.540513
0.220000,-0.003120,-0.009315,-0.119862,-0.421340,0.540984
0.222000,-0.002835,-0.008453,-0.120152,-0.421510,0.541446
0.224000,-0.002545,-0.007582,-0.120437,-0.421676,0.541900
0.226000,-0.002252,-0.006700,-0.120720,-0.421835,0.542344
0.228000,-0.001955,-0.005809,-0.120998,-0.421989,0.542778
0.230000,-0.001653,-0.004908,-0.121273,-0.422137,0.543202
0.232000,-0.001348,-0.003997,-0.121544,-0.422278,0.543615
0.234000,-0.001038,-0.003075,-0.121811,-0.422412,0.544018
0.236000,-0.000725,-0.002144,-0.122072,-0.422541,0.544409
0.238000,-0.000407,-0.001203,-0.122330,-0.422662,0.544788
0.240000,-0.000085,-0.000252,-0.122582,-0.422777,0.545156
0.242000,0.000240,0.000708,-0.122830,-0.422884,0.545510
0.244000,0.000570,0.001679,-0.123072,-0.422984,0.545852
0.246000,0.000903,0.002659,-0.123309,-0.423076,0.546180
0.248000,0.001240,0.003649,-0.123541,-0.423159,0.546494
0.250000,0.001582,0.004649,-0.123767,-0.423234,0.546794
0.252000,0.001926,0.005659,-0.123987,-0.423301,0.547079
0.254000,0.002275,0.006678,-0.124201,-0.423360,0.547350
0.256000,0.002628,0.007707,-0.124408,-0.423409,0.547604
0.258000,0.002984,0.008745,-0.124609,-0.423450,0.547843
0.260000,0.003343,0.009793,-0.124805,-0.423479,0.548064
0.262000,0.003707,0.010850,-0.124992,-0.423501,0.548270
0.264000,0.004074,0.011917,-0.125173,-0.423513,0.548458
0.266000,0.004444,0.012993,-0.125347,-0.423513,0.548627
0.268000,0.004817,0.014078,-0.125513,-0.423504,0.548780
0.270000,0.005194,0.015173,-0.125672,-0.423484,0.548913
0.272000,0.005574,0.016276,-0.125823,-0.423452,0.549026
0.274000,0.005958,0.017389,-0.125966,-0.423410,0.549121
0.276000,0.006344,0.018510,-0.126101,-0.423356,0.549195
0.278000,0.006733,0.019640,-0.126227,-0.423291,0.549249
0.280000,0.007126,0.020779,-0.126345,-0.423214,0.549282
0.282000,0.007520,0.021927,-0.126455,-0.423124,0.549293
0.284000,0.007918,0.023083,-0.126555,-0.423023,0.549283
0.286000,0.008318,0.024248,-0.126646,-0.422908,0.549250
0.288000,0.008721,0.025421,-0.126728,-0.422781,0.549195
